product_id,sku,name,description,category,subcategory,price,image,video_url,on_sale,is_combo,combo_items,filters_json,stock_on_hand,stock_reserved,active
1,,Neon Tetra,Bright blue and red schooling community fish,Fish,Tetras & Rasboras,240,/assets/Neon-tetra.png,,FALSE,FALSE,,"{""temperament"":""Peaceful"",""swimmingZone"":""Middle"",""schooling"":""Schooling"",""tankSize"":""Small (20–60L)""}",10,0,TRUE
2,,Guppy (Pair),"Colorful, active, and easy to breed starter fish",Fish,Tetras & Rasboras,180,https://images.unsplash.com/photo-1524704654690-b56c05a4fe2f?w=600&h=450&fit=crop,,TRUE,FALSE,,"{""temperament"":""Peaceful"",""swimmingZone"":""Top"",""schooling"":""Solo / Pair"",""tankSize"":""Nano (5–20L)""}",10,0,TRUE
3,,Anubias Nana,"Hardy, low-light live aquarium plant for aquascapes",Plants,Hardscape Plants,150,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=600&h=450&fit=crop,,FALSE,FALSE,,"{""careLevel"":""Beginner"",""co2"":""Low"",""lighting"":""Low"",""placement"":""Foreground""}",0,0,TRUE
5,,Iwagumi Stone Set,Hand-selected aquascape stones for premium layouts,Accessories,Aquascape Tools,890,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=600&h=450&fit=crop,,TRUE,FALSE,,"{""tankSize"":""Medium (60–120L)"",""setupType"":""Aquarium""}",10,0,TRUE
6,,CO₂ Diffuser Pro,Precision nano diffuser for lush planted tanks,Accessories,CO₂ Systems,620,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=600&h=450&fit=crop,,FALSE,FALSE,,"{""tankSize"":""Small (20–60L)"",""setupType"":""Aquarium""}",10,0,TRUE
7,,Dwarf Hairgrass,Classic carpet plant for Iwagumi and nature aquariums,Plants,Carpet Plants,220,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=600&h=450&fit=crop,,FALSE,FALSE,,"{""careLevel"":""Intermediate"",""co2"":""Medium"",""lighting"":""High"",""placement"":""Foreground""}",10,0,TRUE
8,,Rotala Rotundifolia,Fast-growing stem plant with vibrant red tones under high light,Plants,Stem Plants,120,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=600&h=450&fit=crop,,TRUE,FALSE,,"{""careLevel"":""Beginner"",""co2"":""Low"",""lighting"":""Medium"",""placement"":""Background""}",10,0,TRUE
9,MINO-PLANT-JM,Java Moss Portion,"Versatile moss for driftwood, stones, and shrimp hideouts",Plants,Moss & Ferns,90,/assets/products/MINO-PLANT-JM-01.jpg,,FALSE,FALSE,,"{""careLevel"":""Beginner"",""co2"":""Low"",""lighting"":""Low"",""placement"":""Midground""}",10,0,TRUE
10,,Red Cherry Shrimp,Hardy neocaridina starter colony for planted nano tanks,Shrimps,Neocaridina,350,/assets/Cherry-shrimp.jpg,,FALSE,FALSE,,"{""careLevel"":""Beginner"",""waterType"":""Neocaridina"",""grade"":""Standard"",""breeding"":""Easy""}",10,0,TRUE
11,,Betta Halfmoon,Stunning centerpiece betta with flowing fins,Fish,Betta & Gourami,480,https://images.unsplash.com/photo-1524704654690-b56c05a4fe2f?w=600&h=450&fit=crop,,FALSE,FALSE,,"{""temperament"":""Semi-aggressive"",""swimmingZone"":""Top"",""schooling"":""Solo / Pair"",""tankSize"":""Nano (5–20L)""}",10,0,TRUE
